	Analogovù voltmetr [V]	Analog ampŽrmetr [A]	Analogovù wattmetr [d’lky]	$\textrm{U}_\textrm{3}$	Digit‡ln’ wattmetr [W]	Digit‡ln’ wattmetr [1]
MžÞen‡ hodnota	126	4,6	74	2,5	2781	0,51
PÞepo‹ten‡ hodnota		13,8	888		927	
						
						
Vùkon z napžt’ a proudu a œ‹in’ku 	Analogovù wattmetr [d’lky]	Digit‡ln’ wattmetr [W]				
886,788	888	927				
						
						
Zd‡nlivù vùkon z napžt’ a proudu [VA]	1738,8					
‰innù vùkon z napžt’ a proudu [W]	886,788					
Analogovù wattmetr [d’lky]	888					
Digit‡ln’ wattmetr [W]	927					