vstupní napětí - analog [V] ;výstupní napětí - čísl. Voltmetr [mV] ;přepočítaný výstupní proud [mA] 
1,18;195,5;1,955
1,09;149,45;1,4945
0,99;103,25;1,0325
0,88;50,99;0,5099
0,78;24,52;0,2452
0,72;9,81;0,0981
0,66;5,37;0,0537
0;0,13;0,0013
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
vstupní napětí - analog [V] ;výstupní napětí - čísl. Voltmetr [mV] ;přepočítaný výstupní proud [mA] 
;;
2,02;195,62;1,9562
;;
1,74;151,38;1,5138
;;
1,45;101,05;1,0105
;;
1,13;50,67;0,5067
;;
0,95;24,45;0,2445
;;
0,78;10,28;0,1028
;;
0,7;5,32;0,0532
;;
0;0,13;0,0013
;;
;;
;;
;;
vstupní napětí - analog [V] ;výstupní napětí - čísl. Voltmetr [mV] ;přepočítaný výstupní proud [mA] 
;;
1;99,99;0,9999
;;
0,72;71,62;0,7162
;;
0,52;49,66;0,4966
;;
0,27;26,78;0,2678
;;
0,05;5,79;0,0579
;;
0;0,17;0,0017
;;